dataset,tool,threads,walltime_s,loading_ms,filtering_ms,writing_ms,loading_pct,filtering_pct,writing_pct,note
Panel_SE_148M,d0bromir_cpu,8,3.905,2055,47,152,52.6%,1.2%,3.9%,
Panel_SE_148M,d0bromir_gpu,8,7.355,4331,38,182,58.9%,0.5%,2.5%,
Panel_PE_304M,d0bromir_cpu,8,3.379,2135,122,111,63.2%,3.6%,3.3%,
Panel_PE_304M,d0bromir_gpu,8,6.875,4377,97,146,63.7%,1.4%,2.1%,
WGS_SE_6.3G,d0bromir_cpu,8,82.424,69486,38,550,84.3%,0.0%,0.7%,
WGS_SE_6.3G,d0bromir_gpu,8,86.945,72375,44,541,83.2%,0.1%,0.6%,
WGS_PE_12.8G,d0bromir_cpu,8,76.5,72454,815,70,94.7%,1.1%,0.1%,
WGS_PE_12.8G,d0bromir_gpu,8,79.486,75013,697,82,94.4%,0.9%,0.1%,
WGS_PE_18.2G,d0bromir_cpu,8,101.979,98427,247,343,96.5%,0.2%,0.3%,
WGS_PE_18.2G,d0bromir_gpu,8,104.383,102016,151,136,97.7%,0.1%,0.1%,
WGS_PE_40G,d0bromir_cpu,8,479.325,546275,1409,102,114.0%,0.3%,0.0%,loading_ms>walltime_ms: reader thread runs across pipeline stages
WGS_PE_40G,d0bromir_gpu,8,474.334,484890,1272,101,102.2%,0.3%,0.0%,loading_ms>walltime_ms: reader thread runs across pipeline stages
