dataset,threads,d0bromir_cpu_filtering_ms,d0bromir_gpu_filtering_ms,gpu_vs_cpu_filtering_speedup,cpu_filter_batch_ms,gpu_filter_batch_ms,note
Panel_PE_304M,8,122,97,1.3x,,,"filtering stage wall time; filter-batch timing not measured"
Panel_SE_148M,8,47,38,1.2x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_12.8G,1,3580,3645,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_12.8G,2,2010,2990,0.7x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_12.8G,4,1020,1116,0.9x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_12.8G,8,815,697,1.2x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_12.8G,16,130,125,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_18.2G,1,3298,3332,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_18.2G,2,1712,2085,0.8x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_18.2G,4,954,1186,0.8x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_18.2G,8,247,151,1.6x,157627,38504,"filtering stage wall time; filter-batch batch=157627ms CPU vs 38504ms GPU (4.1x); measured 2026-04-26"
WGS_PE_18.2G,16,115,121,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_SE_6.3G,1,151,147,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_SE_6.3G,2,72,64,1.1x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_SE_6.3G,4,36,35,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_SE_6.3G,8,38,44,0.9x,54606,13079,"filtering stage wall time; filter-batch batch=54606ms CPU vs 13079ms GPU (4.2x); measured 2026-04-26"
WGS_SE_6.3G,16,48,49,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_40G,8,1409,1272,1.1x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_12.8G,32,128,126,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
WGS_PE_18.2G,32,114,118,1.0x,,,"filtering stage wall time; filter-batch timing not measured"
