dataset,type,threads,opengene_s,d0bromir_cpu_s,cpu_speedup_pct,cpu_speedup_x
Panel_SE_148M,SE,1,7.589,7.646,-0.8%,0.99x
Panel_SE_148M,SE,2,7.549,4.631,38.7%,1.63x
Panel_SE_148M,SE,4,7.548,3.792,49.8%,1.99x
Panel_SE_148M,SE,8,7.557,3.905,48.3%,1.94x
Panel_SE_148M,SE,16,7.554,3.956,47.6%,1.91x
Panel_SE_148M,SE,32,7.65,4.48,41.4%,1.71x
Panel_PE_304M,PE,1,13.731,11.283,17.8%,1.22x
Panel_PE_304M,PE,2,7.35,6.288,14.4%,1.17x
Panel_PE_304M,PE,4,6.571,3.867,41.2%,1.7x
Panel_PE_304M,PE,8,6.667,3.379,49.3%,1.97x
Panel_PE_304M,PE,16,6.781,3.534,47.9%,1.92x
Panel_PE_304M,PE,32,6.988,4.163,40.4%,1.68x
WGS_SE_6.3G,SE,1,293.654,293.479,0.1%,1.0x
WGS_SE_6.3G,SE,2,293.552,151.842,48.3%,1.93x
WGS_SE_6.3G,SE,4,292.495,82.261,71.9%,3.56x
WGS_SE_6.3G,SE,8,292.951,82.424,71.9%,3.55x
WGS_SE_6.3G,SE,16,292.771,82.639,71.8%,3.54x
WGS_SE_6.3G,SE,32,293.29,82.88,71.7%,3.54x
WGS_PE_12.8G,PE,1,710.874,563.109,20.8%,1.26x
WGS_PE_12.8G,PE,2,378.18,286.611,24.2%,1.32x
WGS_PE_12.8G,PE,4,268.225,146.657,45.3%,1.83x
WGS_PE_12.8G,PE,8,269.049,76.5,71.6%,3.52x
WGS_PE_12.8G,PE,16,269.262,68.753,74.5%,3.92x
WGS_PE_12.8G,PE,32,269.16,71.61,73.4%,3.76x
WGS_PE_18.2G,PE,1,978.752,743.885,24.0%,1.32x
WGS_PE_18.2G,PE,2,519.076,379.81,26.8%,1.37x
WGS_PE_18.2G,PE,4,397.273,192.394,51.6%,2.06x
WGS_PE_18.2G,PE,8,397.498,101.979,74.3%,3.9x
WGS_PE_18.2G,PE,16,398.388,100.865,74.7%,3.95x
WGS_PE_40G,PE,1,4841.111,3666.7,24.3%,1.32x
WGS_PE_40G,PE,2,2520.194,1864.022,26.0%,1.35x
WGS_PE_40G,PE,4,1264.396,943.387,25.4%,1.34x
WGS_PE_40G,PE,8,1098.307,479.325,56.4%,2.29x
WGS_PE_40G,PE,16,1098.289,273.591,75.1%,4.01x
WGS_PE_18.2G,PE,32,162.882,99.479,38.9%,1.64x
WGS_PE_40G,PE,32,434.592,235.598,45.8%,1.84x
