dataset,type,tool,threads,walltime_s,reads_in,reads_out,pct_vs_opengene
Panel_SE_148M,SE,opengene,1,7.563,1381894,1381299,baseline
Panel_SE_148M,SE,opengene,2,7.062,1381894,1381299,baseline
Panel_SE_148M,SE,opengene,4,4.155,1381894,1381299,baseline
Panel_SE_148M,SE,opengene,8,2.900,1381894,1381299,baseline
Panel_SE_148M,SE,opengene,16,2.323,1381894,1381299,baseline
Panel_SE_148M,SE,opengene,32,2.434,1381894,1381299,baseline
Panel_SE_148M,SE,d0bromir_cpu,2,4.741,1381894,1381299,-32.9%
Panel_SE_148M,SE,d0bromir_cpu,4,3.964,1381894,1381299,-4.6%
Panel_SE_148M,SE,d0bromir_cpu,8,3.817,1381894,1381299,+31.6%
Panel_SE_148M,SE,d0bromir_cpu,32,4.376,1381894,1381299,+79.8%
Panel_SE_148M,SE,d0bromir_gpu,2,4.713,1381894,1381299,-33.3%
Panel_SE_148M,SE,d0bromir_gpu,4,4.007,1381894,1381299,-3.6%
Panel_SE_148M,SE,d0bromir_gpu,8,3.996,1381894,1381299,+37.8%
Panel_SE_148M,SE,d0bromir_gpu,32,3.949,1381894,1381299,+62.2%
Panel_PE_304M,PE,opengene,1,10.344,2763788,2761244,baseline
Panel_PE_304M,PE,opengene,2,11.644,2763788,2761244,baseline
Panel_PE_304M,PE,opengene,4,6.508,2763788,2761244,baseline
Panel_PE_304M,PE,opengene,8,3.893,2763788,2761244,baseline
Panel_PE_304M,PE,opengene,16,2.586,2763788,2761244,baseline
Panel_PE_304M,PE,opengene,32,2.239,2763788,2761244,baseline
Panel_PE_304M,PE,d0bromir_cpu,1,10.852,2763788,2761244,+4.9%
Panel_PE_304M,PE,d0bromir_cpu,2,7.044,2763788,2761244,-39.5%
Panel_PE_304M,PE,d0bromir_cpu,4,4.020,2763788,2761244,-38.2%
Panel_PE_304M,PE,d0bromir_cpu,8,3.365,2763788,2761244,-13.6%
Panel_PE_304M,PE,d0bromir_cpu,16,3.281,2763788,2761244,+26.9%
Panel_PE_304M,PE,d0bromir_cpu,32,3.375,2763788,2761244,+50.7%
Panel_PE_304M,PE,d0bromir_gpu,1,10.945,2763788,2761244,+5.8%
Panel_PE_304M,PE,d0bromir_gpu,2,6.843,2763788,2761244,-41.2%
Panel_PE_304M,PE,d0bromir_gpu,4,4.574,2763788,2761244,-29.7%
Panel_PE_304M,PE,d0bromir_gpu,8,3.330,2763788,2761244,-14.5%
Panel_PE_304M,PE,d0bromir_gpu,16,3.505,2763788,2761244,+35.5%
Panel_PE_304M,PE,d0bromir_gpu,32,3.431,2763788,2761244,+53.2%
WGS_SE_6.3G,SE,opengene,1,295.811,80314764,77515798,baseline
WGS_SE_6.3G,SE,opengene,2,251.435,80314764,77515798,baseline
WGS_SE_6.3G,SE,opengene,4,137.915,80314764,77515798,baseline
WGS_SE_6.3G,SE,opengene,16,200.896,80314764,77515798,baseline
WGS_SE_6.3G,SE,opengene,32,189.416,80314764,77515798,baseline
WGS_SE_6.3G,SE,d0bromir_cpu,1,283.095,80314764,77515798,-4.3%
WGS_SE_6.3G,SE,d0bromir_cpu,2,147.965,80314764,77515798,-41.2%
WGS_SE_6.3G,SE,d0bromir_cpu,4,80.480,80314764,77515798,-41.6%
WGS_SE_6.3G,SE,d0bromir_cpu,16,80.101,80314764,77515798,-60.1%
WGS_SE_6.3G,SE,d0bromir_cpu,32,79.298,80314764,77515798,-58.1%
WGS_SE_6.3G,SE,d0bromir_gpu,1,286.431,80314764,77515798,-3.2%
WGS_SE_6.3G,SE,d0bromir_gpu,2,153.002,80314764,77515798,-39.1%
WGS_SE_6.3G,SE,d0bromir_gpu,4,83.946,80314764,77515798,-39.1%
WGS_SE_6.3G,SE,d0bromir_gpu,16,81.728,80314764,77515798,-59.3%
WGS_SE_6.3G,SE,d0bromir_gpu,32,82.659,80314764,77515798,-56.4%
WGS_PE_12.8G,PE,opengene,1,451.014,160629528,147153690,baseline
WGS_PE_12.8G,PE,opengene,2,521.724,160629528,147153690,baseline
WGS_PE_12.8G,PE,opengene,4,263.773,160629528,147153690,baseline
WGS_PE_12.8G,PE,opengene,8,138.233,160629528,147153690,baseline
WGS_PE_12.8G,PE,opengene,16,116.057,160629528,147153690,baseline
WGS_PE_12.8G,PE,opengene,32,118.085,160629528,147153690,baseline
WGS_PE_12.8G,PE,d0bromir_cpu,1,628.655,160629528,147153690,+39.4%
WGS_PE_12.8G,PE,d0bromir_cpu,2,323.699,160629528,147153690,-38.0%
WGS_PE_12.8G,PE,d0bromir_cpu,4,164.601,160629528,147153690,-37.6%
WGS_PE_12.8G,PE,d0bromir_cpu,8,86.722,160629528,147153690,-37.3%
WGS_PE_12.8G,PE,d0bromir_cpu,16,70.862,160629528,147153690,-38.9%
WGS_PE_12.8G,PE,d0bromir_cpu,32,71.520,160629528,147153690,-39.4%
WGS_PE_12.8G,PE,d0bromir_gpu,1,551.405,160629528,147153690,+22.3%
WGS_PE_12.8G,PE,d0bromir_gpu,2,286.095,160629528,147153690,-45.2%
WGS_PE_12.8G,PE,d0bromir_gpu,4,148.665,160629528,147153690,-43.6%
WGS_PE_12.8G,PE,d0bromir_gpu,8,78.619,160629528,147153690,-43.1%
WGS_PE_12.8G,PE,d0bromir_gpu,16,74.791,160629528,147153690,-35.6%
WGS_PE_12.8G,PE,d0bromir_gpu,32,75.024,160629528,147153690,-36.5%
