dataset,type,tool,threads,walltime_s,reads_in,reads_out,pct_vs_opengene
WGS_PE_40G,PE,opengene,4,2147.558,722563222,717214748,baseline
WGS_PE_40G,PE,d0bromir_cpu,4,1381.230,722563222,717214748,-35.7%
WGS_PE_40G,PE,d0bromir_gpu,4,1344.295,722563222,717214748,-37.4%
WGS_PE_40G,PE,opengene,8,2088.305,722563222,717214748,baseline
WGS_PE_40G,PE,d0bromir_cpu,8,805.565,722563222,717214748,-61.4%
WGS_PE_40G,PE,d0bromir_gpu,8,772.485,722563222,717214748,-63.0%
WGS_PE_40G,PE,opengene,16,1825.059,722563222,717214748,baseline
WGS_PE_40G,PE,d0bromir_cpu,16,542.765,722563222,717214748,-70.3%
WGS_PE_40G,PE,d0bromir_gpu,16,512.785,722563222,717214748,-71.9%
WGS_PE_40G,PE,opengene,32,1409.093,722563222,717214748,baseline
WGS_PE_40G,PE,d0bromir_cpu,32,481.791,722563222,717214748,-65.8%
WGS_PE_40G,PE,d0bromir_gpu,32,439.194,722563222,717214748,-68.8%
WGS_PE_18.2G,PE,opengene,1,1196.342,234238034,217840930,baseline
WGS_PE_18.2G,PE,d0bromir_cpu,1,974.089,234238034,217840930,-18.6%
WGS_PE_18.2G,PE,d0bromir_gpu,1,961.043,234238034,217840930,-19.7%
WGS_PE_18.2G,PE,opengene,2,1012.285,234238034,217840930,baseline
WGS_PE_18.2G,PE,d0bromir_cpu,2,546.345,234238034,217840930,-46.0%
WGS_PE_18.2G,PE,d0bromir_gpu,2,519.751,234238034,217840930,-48.7%
WGS_PE_18.2G,PE,opengene,4,545.804,234238034,217840930,baseline
WGS_PE_18.2G,PE,d0bromir_cpu,4,297.203,234238034,217840930,-45.5%
WGS_PE_18.2G,PE,d0bromir_gpu,4,293.527,234238034,217840930,-46.2%
WGS_PE_18.2G,PE,opengene,8,288.017,234238034,217840930,baseline
WGS_PE_18.2G,PE,d0bromir_cpu,8,189.181,234238034,217840930,-34.3%
WGS_PE_18.2G,PE,d0bromir_gpu,8,181.955,234238034,217840930,-36.8%
WGS_PE_18.2G,PE,opengene,16,279.704,234236034,217695230,baseline
WGS_PE_18.2G,PE,d0bromir_cpu,16,158.289,234238034,217840930,-43.4%
WGS_PE_18.2G,PE,d0bromir_gpu,16,139.220,234238034,217840930,-50.2%
WGS_PE_18.2G,PE,opengene,32,203.626,234238034,217840930,baseline
WGS_PE_18.2G,PE,d0bromir_cpu,32,146.961,234238034,217840930,-27.8%
WGS_PE_18.2G,PE,d0bromir_gpu,32,130.651,234238034,217840930,-35.8%
BS_HiSeq_SE_26.8G,SE,opengene,1,2562.354,1383062125,1382940338,baseline
BS_HiSeq_SE_26.8G,SE,d0bromir_cpu,1,2372.963,1383062125,1382940338,-7.4%
BS_HiSeq_SE_26.8G,SE,d0bromir_gpu,1,2406.056,1383062125,1382940338,-6.1%
BS_HiSeq_SE_26.8G,SE,opengene,2,3581.824,1383062125,1382940338,baseline
BS_HiSeq_SE_26.8G,SE,d0bromir_cpu,2,1677.162,1383062125,1382940338,-53.2%
BS_HiSeq_SE_26.8G,SE,d0bromir_gpu,2,1740.882,1383062125,1382940338,-51.4%
