dataset,size,mode,tool,T1,T2,T4,T8,T16,T32
Panel_SE_148M,148 MB,SE,opengene,,6.951,4.173,2.869,2.411,2.447
Panel_SE_148M,148 MB,SE,d0bromir_cpu,,4.691,4.093,3.887,3.962,4.189
Panel_SE_148M,148 MB,SE,d0bromir_gpu,,6.692,6.999,6.084,7.004,8.980
Panel_PE_304M,304 MB,PE,opengene,10.367,11.741,,3.843,,2.195
Panel_PE_304M,304 MB,PE,d0bromir_cpu,10.917,6.878,,3.297,,4.371
Panel_PE_304M,304 MB,PE,d0bromir_gpu,12.526,11.365,,5.705,,6.016
WGS_SE_6.3G,6.3 GB,SE,opengene,296.187,251.877,137.867,,202.700,191.608
WGS_SE_6.3G,6.3 GB,SE,d0bromir_cpu,283.632,147.652,80.886,,78.947,79.205
WGS_SE_6.3G,6.3 GB,SE,d0bromir_gpu,286.725,153.135,84.972,,82.277,83.533
WGS_PE_12.8G,12.7 GB,PE,opengene,448.622,521.639,262.863,138.665,,119.718
WGS_PE_12.8G,12.7 GB,PE,d0bromir_cpu,639.550,329.583,168.053,88.321,,71.739
WGS_PE_12.8G,12.7 GB,PE,d0bromir_gpu,552.339,289.672,149.161,78.378,,73.789
WGS_PE_18.2G,18.1 GB,PE,opengene,640.458,751.678,385.941,199.346,167.839,173.705
WGS_PE_18.2G,18.1 GB,PE,d0bromir_cpu,857.798,444.050,224.355,118.160,99.814,101.887
WGS_PE_18.2G,18.1 GB,PE,d0bromir_gpu,732.071,385.823,198.084,104.127,101.864,102.783
WGS_PE_40G,38.5 GB,PE,opengene,,2744.386,1390.370,721.745,,712.125
WGS_PE_40G,38.5 GB,PE,d0bromir_cpu,,2199.622,1109.099,561.451,,237.200
WGS_PE_40G,38.5 GB,PE,d0bromir_gpu,,1895.085,958.317,492.055,,239.569
