dataset,threads,opengene_s,d0bromir_cpu_s,d0bromir_gpu_s,cpu_speedup,gpu_speedup
Panel_SE_148M,2,6.951,4.691,6.692,1.48x,1.04x
Panel_SE_148M,4,4.173,4.093,6.999,1.02x,0.60x
Panel_SE_148M,8,2.869,3.887,6.084,0.74x,0.47x
Panel_SE_148M,16,2.411,3.962,7.004,0.61x,0.34x
Panel_SE_148M,32,2.447,4.189,8.980,0.58x,0.27x
Panel_PE_304M,1,10.367,10.917,12.526,0.95x,0.83x
Panel_PE_304M,2,11.741,6.878,11.365,1.71x,1.03x
Panel_PE_304M,8,3.843,3.297,5.705,1.17x,0.67x
Panel_PE_304M,32,2.195,4.371,6.016,0.50x,0.36x
WGS_SE_6.3G,1,296.187,283.632,286.725,1.04x,1.03x
WGS_SE_6.3G,2,251.877,147.652,153.135,1.71x,1.64x
WGS_SE_6.3G,4,137.867,80.886,84.972,1.70x,1.62x
WGS_SE_6.3G,16,202.700,78.947,82.277,2.57x,2.46x
WGS_SE_6.3G,32,191.608,79.205,83.533,2.42x,2.29x
WGS_PE_12.8G,1,448.622,639.550,552.339,0.70x,0.81x
WGS_PE_12.8G,2,521.639,329.583,289.672,1.58x,1.80x
WGS_PE_12.8G,4,262.863,168.053,149.161,1.56x,1.76x
WGS_PE_12.8G,8,138.665,88.321,78.378,1.57x,1.77x
WGS_PE_12.8G,32,119.718,71.739,73.789,1.67x,1.62x
WGS_PE_18.2G,1,640.458,857.798,732.071,0.75x,0.87x
WGS_PE_18.2G,2,751.678,444.050,385.823,1.69x,1.95x
WGS_PE_18.2G,4,385.941,224.355,198.084,1.72x,1.95x
WGS_PE_18.2G,8,199.346,118.160,104.127,1.69x,1.91x
WGS_PE_18.2G,16,167.839,99.814,101.864,1.68x,1.65x
WGS_PE_18.2G,32,173.705,101.887,102.783,1.70x,1.69x
WGS_PE_40G,2,2744.386,2199.622,1895.085,1.25x,1.45x
WGS_PE_40G,4,1390.370,1109.099,958.317,1.25x,1.45x
WGS_PE_40G,8,721.745,561.451,492.055,1.29x,1.47x
WGS_PE_40G,32,712.125,237.200,239.569,3.00x,2.97x
