dataset,threads,opengene_s,d0bromir_cpu_s,speedup
Panel_SE_148M,1,7.589,7.646,0.99x
Panel_SE_148M,2,7.549,4.631,1.63x
Panel_SE_148M,4,7.548,3.792,1.99x
Panel_SE_148M,8,7.557,3.905,1.94x
Panel_SE_148M,16,7.554,3.956,1.91x
Panel_PE_304M,1,13.731,11.283,1.22x
Panel_PE_304M,2,7.350,6.288,1.17x
Panel_PE_304M,4,6.571,3.867,1.70x
Panel_PE_304M,8,6.667,3.379,1.97x
Panel_PE_304M,16,6.781,3.534,1.92x
WGS_SE_6.3G,1,293.654,293.479,1.00x
WGS_SE_6.3G,2,293.552,151.842,1.93x
WGS_SE_6.3G,4,292.495,82.261,3.56x
WGS_SE_6.3G,8,292.951,82.424,3.55x
WGS_SE_6.3G,16,292.771,82.639,3.54x
WGS_PE_12.8G,1,710.874,563.109,1.26x
WGS_PE_12.8G,2,378.180,286.611,1.32x
WGS_PE_12.8G,4,268.225,146.657,1.83x
WGS_PE_12.8G,8,269.049,76.500,3.52x
WGS_PE_12.8G,16,269.262,68.753,3.92x
WGS_PE_18.2G,1,978.752,743.885,1.32x
WGS_PE_18.2G,2,519.076,379.810,1.37x
WGS_PE_18.2G,4,397.273,192.394,2.06x
WGS_PE_18.2G,8,397.498,101.979,3.90x
WGS_PE_18.2G,16,398.388,100.865,3.95x
WGS_PE_18.2G,32,162.882,99.479,1.64x
WGS_PE_40G,1,4841.111,3666.700,1.32x
WGS_PE_40G,2,2520.194,1864.022,1.35x
WGS_PE_40G,4,1264.396,943.387,1.34x
WGS_PE_40G,8,1098.307,479.325,2.29x
WGS_PE_40G,16,1098.289,273.591,4.01x
WGS_PE_40G,32,434.592,235.598,1.84x
