dataset,threads,d0bromir_cpu_s,d0bromir_gpu_s,overhead_s,overhead_pct
Panel_SE_148M,2,4.691,6.692,+2.001,+42.7%
Panel_SE_148M,4,4.093,6.999,+2.906,+71.0%
Panel_SE_148M,8,3.887,6.084,+2.197,+56.5%
Panel_SE_148M,16,3.962,7.004,+3.042,+76.8%
Panel_SE_148M,32,4.189,8.98,+4.791,+114.4%
Panel_PE_304M,1,10.917,12.526,+1.609,+14.7%
Panel_PE_304M,2,6.878,11.365,+4.487,+65.2%
Panel_PE_304M,8,3.297,5.705,+2.408,+73.0%
Panel_PE_304M,32,4.371,6.016,+1.645,+37.6%
WGS_SE_6.3G,1,283.632,286.725,+3.093,+1.1%
WGS_SE_6.3G,2,147.652,153.135,+5.483,+3.7%
WGS_SE_6.3G,4,80.886,84.972,+4.086,+5.1%
WGS_SE_6.3G,16,78.947,82.277,+3.330,+4.2%
WGS_SE_6.3G,32,79.205,83.533,+4.328,+5.5%
WGS_PE_12.8G,1,639.55,552.339,-87.211,-13.6%
WGS_PE_12.8G,2,329.583,289.672,-39.911,-12.1%
WGS_PE_12.8G,4,168.053,149.161,-18.892,-11.2%
WGS_PE_12.8G,8,88.321,78.378,-9.943,-11.3%
WGS_PE_12.8G,32,71.739,73.789,+2.050,+2.9%
WGS_PE_18.2G,1,857.798,732.071,-125.727,-14.7%
WGS_PE_18.2G,2,444.05,385.823,-58.227,-13.1%
WGS_PE_18.2G,4,224.355,198.084,-26.271,-11.7%
WGS_PE_18.2G,8,118.16,104.127,-14.033,-11.9%
WGS_PE_18.2G,16,99.814,101.864,+2.050,+2.1%
WGS_PE_18.2G,32,101.887,102.783,+0.896,+0.9%
WGS_PE_40G,2,2199.622,1895.085,-304.537,-13.8%
WGS_PE_40G,4,1109.099,958.317,-150.782,-13.6%
WGS_PE_40G,8,561.451,492.055,-69.396,-12.4%
WGS_PE_40G,32,237.2,239.569,+2.369,+1.0%
